numVotes,Frequency,AverageRating
5,81495,564910.7999999991
6,71193,492767.3999999989
7,59238,407916.1000000073
8,48710,335213.49999999744
9,41580,286406.90000000154
10,36399,249567.30000000144
11,31703,217990.80000000258
12,28536,196005.09999999913
13,24834,170435.0000000007
14,22014,151447.99999999997
15,19911,137137.2999999997
16,18216,125536.4000000001
17,16862,116198.10000000002
18,15028,103546.99999999984
19,14128,97307.19999999995
20,13225,91189.10000000017
21,12393,85623.49999999882
22,11231,77542.89999999932
23,11076,76370.79999999951
24,10005,68580.19999999992
25,9466,65332.1000000001
26,8690,59948.80000000022
27,8254,56953.400000000074
28,7846,54028.69999999969
29,7281,49975.89999999997
30,6984,48010.100000000064
31,6722,46329.600000000144
32,6358,43926.499999999935
33,5957,41198.00000000002
34,6014,41721.19999999995
35,6047,42755.50000000021
36,5646,39126.900000000154
37,5405,37393.59999999986
38,5374,37624.09999999976
39,4911,34033.49999999994
40,4649,32196.800000000025
41,4537,31415.800000000017
42,4577,31866.500000000007
43,4293,29622.099999999933
44,4176,28845.700000000044
45,4129,28503.40000000005
46,3925,27197.300000000014
47,3838,26621.699999999968
48,3729,25889.39999999994
49,3687,25436.6
50,3444,23868.30000000004
51,3326,22863.700000000004
52,3307,22794.399999999987
53,3175,21967.700000000004
54,3164,21963.799999999985
55,3018,20794.0
56,2932,20427.39999999998
57,2851,19697.899999999994
58,2791,19272.199999999983
59,2643,18275.199999999993
60,2624,18172.00000000002
61,2565,17768.700000000015
62,2566,17772.599999999977
63,2564,17672.099999999973
64,2350,16376.700000000012
65,2386,16596.7
66,2367,16345.399999999992
67,2267,15673.899999999963
68,2145,14878.099999999995
69,2187,15117.50000000001
70,2186,15132.500000000018
71,2099,14583.299999999992
72,2024,14011.800000000027
73,2010,13912.299999999967
74,1960,13542.500000000005
75,1968,13664.100000000011
76,1927,13343.29999999998
77,1795,12420.699999999993
78,1829,12669.300000000005
79,1712,11799.299999999997
80,1711,11840.49999999999
81,1665,11607.000000000005
82,1641,11420.50000000001
83,1671,11594.499999999996
84,1568,10907.499999999996
85,1616,11255.300000000003
86,1564,10877.500000000016
87,1511,10391.099999999997
88,1479,10304.399999999994
89,1448,10147.600000000004
90,1404,9800.90000000001
91,1454,10179.399999999998
92,1407,9712.200000000006
93,1343,9313.999999999995
94,1339,9335.8
95,1331,9321.799999999994
96,1327,9239.400000000014
97,1242,8601.800000000012
98,1265,8831.4
99,1232,8596.60000000001
100,1332,8952.800000000001
101,1299,8818.299999999994
102,1221,8235.300000000007
103,1183,7959.5999999999985
104,1181,7886.199999999993
105,1193,8005.100000000003
106,1102,7354.2000000000035
107,1191,8116.199999999994
108,1115,7505.3000000000075
109,1164,7851.399999999999
110,1102,7454.200000000002
111,1104,7474.799999999997
112,1042,7042.900000000005
113,1029,6855.600000000003
114,995,6671.899999999986
115,1023,6876.699999999996
116,1003,6708.6000000000095
117,1015,6825.900000000003
118,935,6240.299999999997
119,1005,6824.200000000002
120,952,6315.500000000005
121,946,6315.5999999999985
122,929,6187.799999999998
123,922,6248.400000000004
124,933,6229.5
125,883,5957.000000000002
126,878,5883.199999999996
127,887,5983.199999999995
128,882,5945.499999999996
129,878,5904.799999999995
130,817,5393.400000000001
131,841,5621.199999999996
132,815,5407.299999999999
133,815,5468.299999999999
134,811,5434.999999999999
135,754,5095.499999999998
136,773,5140.500000000001
137,811,5510.3999999999905
138,815,5535.199999999998
139,787,5262.399999999995
140,769,5121.0
141,742,4991.800000000006
142,749,5035.199999999999
143,756,5063.299999999998
144,754,5097.7999999999965
145,718,4885.300000000001
146,740,4937.999999999998
147,707,4776.4
148,686,4594.300000000003
149,772,5326.599999999996
150,714,4811.1
151,692,4670.100000000004
152,751,5110.799999999995
153,723,4803.199999999999
154,689,4678.0
155,659,4453.199999999995
156,667,4453.499999999999
157,702,4716.999999999997
158,701,4734.599999999996
159,658,4463.500000000002
160,711,4733.000000000002
161,687,4664.999999999999
162,680,4599.799999999994
163,635,4330.700000000002
164,675,4583.299999999996
165,657,4470.100000000001
166,623,4264.699999999997
167,619,4170.0
168,640,4358.299999999999
169,642,4340.200000000004
170,629,4327.1
171,617,4168.699999999999
172,615,4154.600000000003
173,601,4116.799999999998
174,635,4262.800000000001
175,590,3969.8999999999996
176,571,3908.0000000000014
177,617,4200.499999999999
178,562,3859.299999999998
